Date,TIME,DateTime,OWD
01/11/2016,01:03:26,2016/11/01 01:03:26,0.010054058
01/11/2016,01:17:50,2016/11/01 01:17:50,0.018870884
01/11/2016,01:32:14,2016/11/01 01:32:14,0.025476511
01/11/2016,01:46:38,2016/11/01 01:46:38,0.035105017
01/11/2016,02:01:02,2016/11/01 02:01:02,0.03945243
01/11/2016,02:15:26,2016/11/01 02:15:26,0.037098946
01/11/2016,02:29:50,2016/11/01 02:29:50,0.044974592
01/11/2016,02:44:14,2016/11/01 02:44:14,0.05004762
01/11/2016,02:58:38,2016/11/01 02:58:38,0.055613637
01/11/2016,03:13:02,2016/11/01 03:13:02,0.048264043
01/11/2016,03:27:26,2016/11/01 03:27:26,0.050710396
01/11/2016,03:41:50,2016/11/01 03:41:50,0.02439481
01/11/2016,03:56:14,2016/11/01 03:56:14,0.033198553
01/11/2016,04:10:38,2016/11/01 04:10:38,0.037957332
01/11/2016,04:25:02,2016/11/01 04:25:02,0.041038158
01/11/2016,04:39:26,2016/11/01 04:39:26,0.038778327
01/11/2016,04:53:50,2016/11/01 04:53:50,0.031063566
01/11/2016,05:08:14,2016/11/01 05:08:14,0.030937269
01/11/2016,05:22:38,2016/11/01 05:22:38,0.040740135
01/11/2016,05:37:02,2016/11/01 05:37:02,0.049320868
01/11/2016,05:51:26,2016/11/01 05:51:26,0.05668126
01/11/2016,06:05:50,2016/11/01 06:05:50,0.053387356
01/11/2016,06:20:14,2016/11/01 06:20:14,0.051857671
01/11/2016,06:34:38,2016/11/01 06:34:38,0.051775775
01/11/2016,06:49:02,2016/11/01 06:49:02,0.046440754
01/11/2016,07:03:26,2016/11/01 07:03:26,0.053201903
01/11/2016,07:17:50,2016/11/01 07:17:50,0.043199123
01/11/2016,07:32:14,2016/11/01 07:32:14,0.051286128
01/11/2016,07:46:38,2016/11/01 07:46:38,0.059875629
01/11/2016,08:01:02,2016/11/01 08:01:02,0.064959028
01/11/2016,08:15:26,2016/11/01 08:15:26,0.067322685
01/11/2016,08:29:50,2016/11/01 08:29:50,0.073322854
01/11/2016,08:44:14,2016/11/01 08:44:14,0.041631763
01/11/2016,08:58:38,2016/11/01 08:58:38,0.051010889
01/11/2016,09:13:02,2016/11/01 09:13:02,0.056548392
01/11/2016,09:27:26,2016/11/01 09:27:26,0.060366609
01/11/2016,09:41:50,2016/11/01 09:41:50,0.064679357
01/11/2016,09:56:14,2016/11/01 09:56:14,0.072242131
01/11/2016,10:10:38,2016/11/01 10:10:38,0.080347518
01/11/2016,10:25:02,2016/11/01 10:25:02,0.085130007
01/11/2016,10:39:26,2016/11/01 10:39:26,0.090779527
01/11/2016,10:53:50,2016/11/01 10:53:50,0.086449715
01/12/2016,11:08:14,2016/12/01 11:08:14,0.089668841
01/12/2016,11:22:38,2016/12/01 11:22:38,0.077142249
01/12/2016,11:37:02,2016/12/01 11:37:02,0.069087383
